0,0,1.837e-17,0,0,0,0,0,0
0.01,0,1.837e-17,0,0,0,0,0,0.03
0.02,0,1.837e-17,0,0,0,0,0,0.03
0.03,0,1.837e-17,0,0,0,0,0,0.03
0.04,0,1.837e-17,0,0,0,0,0,0.03
0.05,0,5.8157e-05,0,5.8157e-05,0,0,0,0.03
0.06,-0.0004602,0.00017447,0,0.00017447,0,-0.001534,0,0.03
0.07,-0.0013806,0.00052342,0,0.00052342,0,-0.004602,0,0.03
0.08,-0.002301,0.00093052,0,0.00093052,0,-0.00767,0,0.03
0.09,-0.0027612,0.0013376,0,0.0013376,0,-0.009204,0,0.03
0.1,-0.0027612,0.001861,0,0.001861,0,-0.009204,0,0.03
0.11,-0.0027612,0.0022681,0,0.0022681,0,-0.009204,0,0.03
0.12,-0.0027612,0.0026171,0,0.0026171,0,-0.009204,0,0.03
0.13,-0.0027612,0.002966,0,0.002966,0,-0.009204,0,0.03
0.14,-0.0032213,0.0031405,0,0.0031405,0,-0.010738,0,0.03
0.15,-0.0036815,0.0034313,0,0.0034313,0,-0.012272,0,0.03
0.16,-0.0041417,0.0038965,0,0.0038965,0,-0.013806,0,0.03
0.17,-0.0046018,0.0043618,0,0.0043618,0,-0.01534,0,0.03
0.18,-0.0046018,0.0046526,0,0.0046526,0,-0.01534,0,0.03
0.19,-0.0046018,0.0048271,0,0.0048271,0,-0.01534,0,0.03
0.2,-0.0046018,0.0050015,0,0.0050015,0,-0.01534,0,0.03
0.21,-0.0046018,0.0052342,0,0.0052342,0,-0.01534,0,0.03
0.22,-0.005062,0.0054086,0,0.0054086,0,-0.016874,0,0.03
0.23,-0.005062,0.0055249,0,0.0055249,0,-0.016874,0,0.03
0.24,-0.005062,0.0055831,0,0.0055831,0,-0.016874,0,0.03
0.25,-0.0055221,0.0061596,0,0.0056994,-0.001534,-0.018408,0,0.03
0.26,-0.0055221,0.0063922,0,0.005932,-0.001534,-0.018408,0,0.03
0.27,-0.0055221,0.006683,0,0.0062228,-0.001534,-0.018408,0,0.03
0.28,-0.0055221,0.0069738,0,0.0065136,-0.001534,-0.018408,0,0.03
0.29,-0.0055221,0.0071483,0,0.0066881,-0.001534,-0.018408,0,0.03
0.3,-0.0055221,0.0073228,0,0.0068626,-0.001534,-0.018408,0,0.03
0.31,-0.0055221,0.007037,0,0.007037,0,-0.018408,0,0.03
0.32,-0.0055221,0.0072115,0,0.0072115,0,-0.018408,0,0.03
0.33,-0.005062,0.007386,0,0.007386,0,-0.016874,0,0.03
0.34,-0.005062,0.0075605,0,0.0075605,0,-0.016874,0,0.03
0.35,-0.005062,0.0076186,0,0.0076186,0,-0.016874,0,0.03
0.36,-0.0046018,0.0076768,0,0.0076768,0,-0.01534,0,0.03
0.37,-0.0046018,0.0077349,0,0.0077349,0,-0.01534,0,0.03
0.38,-0.0041417,0.0078512,0,0.0078512,0,-0.013806,0,0.03
0.39,-0.0041417,0.0080257,0,0.0080257,0,-0.013806,0,0.03
0.4,-0.0041417,0.0082002,0,0.0082002,0,-0.013806,0,0.03
0.41,-0.0036815,0.0083747,0,0.0083747,0,-0.012272,0,0.03
0.42,-0.0036815,0.0085491,0,0.0085491,0,-0.012272,0,0.03
0.43,-0.0032213,0.0091838,0,0.0087236,-0.001534,-0.010738,0,0.03
0.44,-0.0032213,0.0093583,0,0.0088981,-0.001534,-0.010738,0,0.03
0.45,-0.0036815,0.0095909,0,0.0091307,-0.001534,-0.012272,0,0.03
0.46,-0.0036815,0.0098235,0,0.0093633,-0.001534,-0.012272,0,0.03
0.47,-0.0032213,0.009998,0,0.0095378,-0.001534,-0.010738,0,0.03
0.48,-0.0027612,0.010172,0,0.0097123,-0.001534,-0.009204,0,0.03
0.49,-0.002301,0.010289,0,0.0098286,-0.001534,-0.00767,0.06,0.09
0.5,-0.0018408,0.0099449,0,0.0099449,0,-0.006136,0.06,0.09
0.51,-0.0013806,0.010178,0,0.010178,0,-0.004602,0.06,0.09
0.52,-0.0022428,0.010817,5.8157e-05,0.010817,0,-0.00767,0.06,0.09
0.53,-0.0044855,0.011922,0.00011631,0.011922,0,-0.01534,0.06,0.09
0.54,-0.005977,0.01326,0.00046526,0.01326,0,-0.021476,0.06,0.09
0.55,-0.0063156,0.014656,0.0010468,0.014656,0,-0.024544,0.06,0.09
0.56,-0.0051576,0.01703,0.0017447,0.01611,-0.003068,-0.02301,0.06,0.09
0.57,-0.0035977,0.01877,0.0023844,0.017389,-0.004602,-0.019942,0.06,0.09
0.58,-0.0022122,0.020567,0.0028497,0.018727,-0.006136,-0.016874,0.06,0.09
0.59,-0.0027252,0.022365,0.0032568,0.020064,-0.00767,-0.019942,0.06,0.09
0.6,-0.0041582,0.024681,0.0036639,0.02146,-0.010738,-0.026078,0.06,0.09
0.61,-0.0049564,0.026654,0.0042455,0.022972,-0.012272,-0.03068,0.06,0.09
0.62,-0.0056962,0.028451,0.0048852,0.02431,-0.013806,-0.035282,0.06,0.09
0.63,-0.0049981,0.030017,0.0055831,0.025415,-0.01534,-0.035282,0.06,0.09
0.64,-0.00384,0.031407,0.006281,0.026345,-0.016874,-0.033748,0.06,0.09
0.65,-0.0026823,0.032396,0.0069789,0.027334,-0.016874,-0.032214,0.06,0.09
0.66,-0.0015821,0.034189,0.0076186,0.028206,-0.019942,-0.03068,0.06,0.09
0.67,-0.0015183,0.035405,0.008142,0.028962,-0.021476,-0.032214,0.06,0.09
0.68,-0.0014544,0.036504,0.0086654,0.029602,-0.02301,-0.033748,0.06,0.09
