0,0,1.837e-17,0,0,0,0,0,0,-0,0
0.05,0,1.837e-17,0,0,0,0,0,0,-0,0
0.1,1.782e-05,0.0013317,2.7815e-05,0.00097947,0.00065113,0.030053,-3.3315e-05,-0.0011741,-0.00077399,-0.03586
0.15,2.1152e-05,0.0022627,3.2555e-05,0.0016719,3.9992e-07,0.0058327,-3.801e-05,-0.0019692,3.0911e-05,-0.0057221
0.2,2.1783e-05,0.0024785,3.2543e-05,0.0018515,-3.6057e-07,0.0032435,-3.5865e-05,-0.0020901,5.3614e-05,-0.0014023
0.25,2.2734e-05,0.0026417,3.2525e-05,0.0020063,-3.3046e-07,0.0030774,-3.2638e-05,-0.002118,7.3695e-05,4.2134e-05
0.3,2.398e-05,0.0027833,3.251e-05,0.0021595,-2.897e-07,0.0030624,-2.8433e-05,-0.0020794,9.1425e-05,0.0012976
0.35,2.5469e-05,0.0029077,3.2497e-05,0.0023133,-2.4075e-07,0.0030779,-2.3427e-05,-0.0019813,0.0001064,0.0024726
0.4,2.7158e-05,0.0030166,3.2486e-05,0.0024684,-1.8502e-07,0.0031061,-1.7761e-05,-0.0018273,0.00011819,0.0035549
0.45,2.8996e-05,0.0031122,3.2479e-05,0.0026252,-1.2419e-07,0.0031421,-1.1608e-05,-0.0016231,0.00012649,0.0045203
0.5,3.0932e-05,0.0031962,3.2474e-05,0.0027841,-5.9966e-08,0.0031844,-5.1403e-06,-0.0013736,0.00013095,0.0053382
0.55,3.2905e-05,0.0032717,3.2473e-05,0.0029453,5.6241e-09,0.0032314,1.4388e-06,-0.0010878,0.00013154,0.0059893
0.6,3.4857e-05,0.0033416,3.2475e-05,0.0031091,7.0689e-08,0.0032823,7.94e-06,-0.0007752,0.00012834,0.0064605
0.65,3.6731e-05,0.0034087,3.2481e-05,0.0032754,1.3326e-07,0.0033355,1.4166e-05,-0.00044431,0.00012133,0.0067344
0.7,3.8472e-05,0.0034761,3.2489e-05,0.0034445,1.9158e-07,0.0033897,1.9943e-05,-0.00010551,0.00011085,0.0068103
0.75,4.003e-05,0.0035469,3.25e-05,0.0036162,2.4392e-07,0.0034434,2.5099e-05,0.00023131,9.7175e-05,0.006687
0.8,4.1362e-05,0.0036237,3.2514e-05,0.0037906,2.8885e-07,0.0034952,2.9493e-05,0.00055648,8.076e-05,0.0063725
0.85,4.243e-05,0.0037092,3.2529e-05,0.0039674,3.2508e-07,0.0035437,3.3001e-05,0.00086075,6.2087e-05,0.0058779
0.9,4.3206e-05,0.0038057,3.2546e-05,0.0041464,3.5169e-07,0.0035877,3.5534e-05,0.0011359,4.1723e-05,0.0052215
0.95,4.3673e-05,0.003915,3.2564e-05,0.0043274,3.6802e-07,0.003626,3.7028e-05,0.0013748,2.026e-05,0.0044244
1,4.381e-05,0.004039,3.2583e-05,0.0045101,3.7342e-07,0.0036577,3.7422e-05,0.0015701,-1.6906e-06,0.0035086
1.05,4.3612e-05,0.0041791,3.2602e-05,0.004694,3.6768e-07,0.0036816,3.6702e-05,0.0017162,-2.3457e-05,0.002503
1.1,4.3098e-05,0.0043354,3.2619e-05,0.0048787,3.5137e-07,0.003697,3.4928e-05,0.001811,-4.4416e-05,0.001441
1.15,4.2276e-05,0.0045085,3.2636e-05,0.0050639,3.2477e-07,0.0037045,3.2132e-05,0.0018513,-6.3931e-05,0.00035182
1.2,4.1187e-05,0.0046971,3.2652e-05,0.005249,2.8922e-07,0.003703,2.8451e-05,0.0018396,-8.1561e-05,-0.00073163
1.25,3.9858e-05,0.0049009,3.2665e-05,0.0054339,2.456e-07,0.0036954,2.3976e-05,0.0017764,-9.6837e-05,-0.0017847
1.3,3.8316e-05,0.0051196,3.2676e-05,0.005618,1.9478e-07,0.0036805,1.88e-05,0.0016612,-0.0001092,-0.0027741
1.35,3.6604e-05,0.005352,3.2684e-05,0.005801,1.3819e-07,0.0036563,1.3067e-05,0.0014967,-0.00011813,-0.0036628
1.4,3.4787e-05,0.005595,3.2689e-05,0.0059825,7.7946e-08,0.0036237,6.9913e-06,0.0012917,-0.0001236,-0.0044317
1.45,3.2915e-05,0.0058465,3.2691e-05,0.0061622,1.5754e-08,0.0035883,7.4455e-07,0.0010522,-0.00012544,-0.0050644
1.5,3.1043e-05,0.0061043,3.269e-05,0.00634,-4.6566e-08,0.0035492,-5.4907e-06,0.00078544,-0.00012363,-0.0055427
1.55,2.9228e-05,0.0063659,3.2686e-05,0.0065157,-1.0715e-07,0.0035077,-1.1528e-05,0.00049934,-0.00011818,-0.0058524
1.6,2.7519e-05,0.0066284,3.2679e-05,0.0066892,-1.6432e-07,0.0034644,-1.72e-05,0.00020284,-0.00010936,-0.0059903
1.65,2.5969e-05,0.0068894,3.267e-05,0.0068607,-2.1635e-07,0.003422,-2.2336e-05,-9.5616e-05,-9.7384e-05,-0.0059533
1.7,2.4619e-05,0.0071462,3.2658e-05,0.00703,-2.6182e-07,0.0033803,-2.6796e-05,-0.00038735,-8.2653e-05,-0.0057451
1.75,2.3508e-05,0.0073966,3.2643e-05,0.0071974,-2.9941e-07,0.0033414,-3.0451e-05,-0.00066404,-6.5598e-05,-0.0053742
1.8,2.2667e-05,0.0076384,3.2627e-05,0.007363,-3.281e-07,0.0033059,-3.3202e-05,-0.00091795,-4.6733e-05,-0.0048533
1.85,2.2117e-05,0.0078697,3.2611e-05,0.007527,-3.4717e-07,0.0032749,-3.4979e-05,-0.0011423,-2.6617e-05,-0.0042003
